NR 0 MASZYNA:
------
OP = 1		ZAD = 5		CZAS = 17

OP = 3		ZAD = 3		CZAS = 12

OP = 3		ZAD = 4		CZAS = 11

OP = 1		ZAD = 1		CZAS = 12

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

OP = 99		ZAD = 99		CZAS = 1

